Genre,emotion,count
acoustic,surprise,7
acoustic,love,32
acoustic,fear,46
acoustic,anger,80
acoustic,sadness,249
acoustic,joy,264
alt-country,surprise,2
alt-country,love,17
alt-country,fear,25
alt-country,anger,45
alt-country,sadness,108
alt-country,joy,110
alternative,surprise,35
alternative,love,97
alternative,fear,145
alternative,anger,470
alternative,joy,917
alternative,sadness,953
alternative rock,surprise,315
alternative rock,love,1110
alternative rock,fear,1714
alternative rock,anger,4194
alternative rock,joy,9405
alternative rock,sadness,10636
ambient,surprise,29
ambient,love,122
ambient,fear,134
ambient,anger,407
ambient,joy,803
ambient,sadness,830
black metal,surprise,3
black metal,love,39
black metal,fear,86
black metal,anger,214
black metal,joy,241
black metal,sadness,403
blues,surprise,83
blues,fear,424
blues,love,577
blues,anger,1266
blues,sadness,2690
blues,joy,3311
britpop,surprise,3
britpop,love,24
britpop,fear,40
britpop,anger,62
britpop,sadness,189
britpop,joy,212
chillout,surprise,2
chillout,love,5
chillout,fear,7
chillout,anger,7
chillout,sadness,34
chillout,joy,62
chillwave,surprise,5
chillwave,fear,28
chillwave,love,31
chillwave,anger,80
chillwave,sadness,171
chillwave,joy,197
christian,surprise,12
christian,love,50
christian,fear,52
christian,anger,80
christian,sadness,350
christian,joy,533
classic rock,surprise,48
classic rock,fear,234
classic rock,love,251
classic rock,anger,452
classic rock,sadness,1395
classic rock,joy,1593
classical,surprise,42
classical,fear,190
classical,love,204
classical,anger,672
classical,sadness,1318
classical,joy,1427
cloud rap,surprise,16
cloud rap,love,41
cloud rap,fear,75
cloud rap,sadness,547
cloud rap,joy,572
cloud rap,anger,698
comedy,surprise,14
comedy,love,24
comedy,fear,31
comedy,sadness,188
comedy,anger,197
comedy,joy,396
country,surprise,103
country,fear,425
country,love,683
country,anger,1102
country,sadness,3509
country,joy,4184
dance,surprise,39
dance,fear,150
dance,love,255
dance,anger,473
dance,sadness,813
dance,joy,1498
dancehall,surprise,6
dancehall,fear,32
dancehall,love,86
